decomposition_type,rank,total time,mean_time_per_epoch,std_dev_per_epoch,Q1,Q2
ttd,2,1120.7014322280884,2.2414028644561768,0.3251796376708385,2.203275501728058,2.240461826324463
ttd,4,1122.2915198802948,2.2445830397605895,0.3108379087236167,2.2045559883117676,2.2470020055770874
ttd,16,1125.3661668300629,2.250732333660126,0.3161959944942788,2.2051205039024353,2.249829053878784
ttd,64,1183.026609659195,2.36605321931839,0.4043547889453549,2.2810038924217224,2.3145799040794373
ttd,256,1240.3338725566864,2.4806677451133727,0.32217334823116067,2.4355284571647644,2.4886990785598755
tucker,2,1194.5944817066193,2.3891889634132384,0.33627823098356746,2.35089111328125,2.3874573707580566
tucker,4,1215.7879831790924,2.4315759663581846,0.3395824072890678,2.3945518136024475,2.43386048078537
tucker,16,1354.831637620926,2.709663275241852,0.358358384582143,2.659526765346527,2.7068524956703186
tucker,64,2215.5890431404114,4.4311780862808225,0.5182899165076712,4.285608291625977,4.419566631317139
cp,2,1177.4021711349487,2.3548043422698974,0.3225282642636708,2.3195124864578247,2.3577815294265747
cp,4,1178.8374228477478,2.3576748456954957,0.3114387611159677,2.3201934099197388,2.3577721118927
cp,6,1185.2040212154388,2.3704080424308778,0.31087517939119297,2.3397075533866882,2.3689173460006714
cp,8,1194.9968693256378,2.3899937386512757,0.31316930198145443,2.3572546243667603,2.387585997581482
cp,10,1212.9810354709625,2.425962070941925,0.2982512542838343,2.387647569179535,2.424686074256897
cp,12,1222.0404484272003,2.4440808968544006,0.3247971561247236,2.406724989414215,2.442841112613678
cp,14,1233.3164734840393,2.4666329469680788,0.31774009137310266,2.420531988143921,2.464271605014801
